Date,Branch,Customer_Type,Payment,Total
2024-10-03,B,Member,Credit Card,279.95
2025-01-24,B,Normal,Credit Card,187.01
2024-06-26,B,Normal,Cash,213.4
2025-02-11,B,Normal,Credit Card,150.67
2024-10-04,B,Normal,Cash,339.08
2024-05-30,A,Member,E-wallet,210.35
2024-11-14,A,Member,Cash,295.1
2024-10-23,B,Normal,E-wallet,72.17
2024-04-02,B,Normal,Credit Card,91.22
2024-02-26,A,Member,Cash,203.45
2024-09-24,A,Normal,E-wallet,281.73
2024-12-15,A,Normal,Credit Card,193.78
2024-11-17,A,Normal,E-wallet,190.76
2024-06-27,A,Normal,Credit Card,373.25
2025-01-03,B,Normal,Credit Card,26.82
2024-05-31,B,Member,Credit Card,387.71
2024-04-27,A,Normal,Credit Card,55.44
2024-06-15,B,Member,Credit Card,455.1
2025-01-17,B,Normal,Cash,312.57
2024-06-04,A,Member,Cash,192.29
2024-07-13,A,Member,Credit Card,215.37
2024-06-09,B,Normal,E-wallet,446.77
2024-08-11,B,Normal,Credit Card,112.07
2024-03-30,B,Member,E-wallet,406.09
2025-01-10,A,Member,E-wallet,407.98
2025-02-03,A,Normal,Cash,85.26
2024-12-16,A,Member,Cash,424.75
2024-10-17,B,Member,E-wallet,428.61
2024-11-11,A,Normal,Cash,163.53
2024-05-16,A,Member,E-wallet,148.56
2024-12-31,B,Member,E-wallet,328.14
2024-07-19,A,Normal,E-wallet,430.75
2024-11-11,B,Member,E-wallet,413.43
2024-05-09,A,Member,Cash,327.47
2024-03-11,B,Member,E-wallet,417.93
2025-02-08,B,Member,E-wallet,119.97
2025-01-16,B,Member,Cash,443.03
2024-10-27,A,Normal,Cash,488.51
2024-11-24,B,Member,Credit Card,46.16
2025-02-02,B,Member,Cash,143.66
2024-12-27,A,Normal,E-wallet,384.03
2024-06-13,B,Normal,E-wallet,422.98
2024-09-13,B,Normal,E-wallet,161.67
2024-08-20,B,Member,Credit Card,194.0
2024-06-10,A,Normal,E-wallet,271.15
2024-08-05,B,Normal,Cash,362.6
2024-02-21,B,Normal,E-wallet,211.74
2024-11-20,A,Member,E-wallet,339.34
2024-02-16,B,Normal,Cash,204.11
2024-08-19,B,Normal,E-wallet,456.75
2024-10-17,A,Member,Cash,345.05
2024-08-10,A,Normal,E-wallet,484.75
2025-01-11,A,Member,Cash,52.61
2024-11-23,B,Member,Credit Card,389.34
2024-08-20,A,Normal,Cash,166.79
2024-04-17,B,Member,Cash,404.28
2024-11-19,B,Normal,Cash,357.77
2024-05-18,B,Member,Credit Card,145.33
2024-11-08,A,Normal,Credit Card,211.62
2024-02-22,A,Normal,Credit Card,412.71
2024-11-25,B,Normal,E-wallet,358.92
2024-10-14,A,Normal,E-wallet,414.49
2024-12-26,A,Member,Cash,259.18
2024-03-23,B,Member,Cash,29.28
2025-01-06,A,Normal,Cash,29.3
2024-05-07,A,Normal,Cash,102.5
2024-10-12,A,Member,Cash,58.79
2024-02-23,B,Member,Credit Card,272.64
2025-01-22,A,Normal,Credit Card,19.09
2024-03-06,A,Member,Credit Card,394.39
2024-11-02,B,Normal,Credit Card,368.5
2024-05-09,A,Normal,Credit Card,353.89
2025-01-29,A,Normal,E-wallet,173.11
2025-01-23,A,Member,Cash,160.29
2024-12-27,B,Normal,Credit Card,268.2
2025-01-02,B,Member,Credit Card,348.75
2024-06-16,A,Member,E-wallet,261.21
2024-09-21,B,Normal,E-wallet,103.57
2024-04-11,B,Member,Credit Card,97.24
2024-09-21,A,Normal,Cash,140.48
2024-09-19,B,Member,Cash,367.41
2025-01-02,B,Normal,Cash,241.67
2024-09-03,A,Normal,Cash,490.56
2024-08-13,B,Normal,Credit Card,142.1
2024-10-29,A,Normal,Cash,249.19
2024-10-30,B,Member,Credit Card,160.42
2024-03-30,B,Normal,Cash,39.25
2024-11-25,A,Member,E-wallet,390.29
2025-01-02,A,Member,Credit Card,68.11
2024-03-08,B,Normal,Credit Card,361.05
2024-02-26,B,Normal,Cash,466.29
2025-02-02,B,Normal,Credit Card,237.26
2024-09-02,A,Member,Credit Card,442.3
2024-12-07,A,Member,E-wallet,465.17
2024-08-09,B,Member,E-wallet,326.74
2024-08-24,B,Normal,Cash,281.75
2024-02-17,B,Member,E-wallet,446.92
2024-09-27,A,Member,Cash,122.44
2024-10-04,A,Member,Cash,496.22
2024-10-04,B,Normal,Credit Card,282.64
2024-02-14,A,Member,Cash,221.83
2024-02-17,B,Member,Cash,322.64
2024-03-19,A,Member,Credit Card,194.45
2024-06-20,A,Normal,E-wallet,491.03
2024-03-07,A,Normal,E-wallet,233.09
2024-10-08,A,Normal,Credit Card,421.53
2024-10-20,B,Normal,Credit Card,353.02
2024-08-24,B,Normal,E-wallet,484.17
2025-01-09,B,Member,Cash,386.13
2024-08-03,B,Normal,E-wallet,223.78
2024-10-30,B,Normal,Credit Card,415.57
2024-06-28,B,Normal,Cash,274.55
2024-10-27,B,Normal,E-wallet,340.51
2024-02-27,A,Member,Cash,397.56
2024-02-12,A,Normal,Credit Card,102.52
2024-03-16,A,Normal,Credit Card,309.39
2024-07-18,B,Normal,E-wallet,77.15
2024-04-24,A,Member,Credit Card,349.68
2024-10-21,A,Normal,Cash,494.29
2025-01-26,A,Normal,Credit Card,285.41
2024-12-10,B,Normal,E-wallet,423.2
2024-11-09,A,Normal,Cash,131.21
2024-04-23,A,Member,Credit Card,80.73
2024-11-03,B,Member,Cash,370.99
2024-05-06,A,Normal,Credit Card,287.73
2024-06-11,A,Member,E-wallet,177.01
2024-04-22,B,Normal,Cash,463.43
2024-11-20,B,Normal,Cash,357.91
2024-11-20,B,Member,Credit Card,493.48
2025-01-19,A,Member,E-wallet,133.43
2025-01-23,A,Member,Credit Card,484.15
2024-06-21,A,Member,Credit Card,311.25
2024-11-25,A,Member,Credit Card,268.39
2024-04-13,A,Normal,Cash,26.03
2024-05-09,A,Member,Cash,77.37
2024-12-19,B,Member,E-wallet,66.62
2024-11-17,B,Normal,E-wallet,98.23
2024-10-10,B,Member,Credit Card,191.84
2024-02-15,A,Normal,Credit Card,445.48
2024-04-21,A,Member,E-wallet,235.83
2024-09-01,B,Normal,E-wallet,203.09
2024-11-20,A,Normal,Cash,493.69
2024-06-10,A,Normal,Credit Card,430.05
2024-07-13,A,Member,E-wallet,22.01
2024-10-10,A,Member,E-wallet,205.89
2024-07-06,A,Member,Cash,55.31
2024-12-22,B,Normal,Credit Card,144.6
2024-02-18,A,Normal,Cash,276.68
2024-11-30,A,Member,E-wallet,364.46
2024-09-24,B,Member,E-wallet,402.25
2024-12-30,A,Normal,E-wallet,217.52
2024-02-13,B,Member,Credit Card,49.77
2024-08-26,A,Member,Credit Card,111.12
2024-03-24,A,Normal,E-wallet,230.24
2024-09-18,A,Member,E-wallet,380.13
2024-12-24,B,Normal,Cash,175.12
2024-07-12,A,Member,Cash,230.2
2024-07-16,A,Normal,Cash,372.44
2024-10-10,A,Normal,Cash,24.46
2024-07-02,B,Member,Credit Card,418.78
2025-02-01,A,Normal,Credit Card,185.59
2024-07-06,B,Member,Cash,100.12
2024-07-24,A,Member,Cash,332.61
2024-03-14,A,Normal,E-wallet,136.09
2024-07-08,A,Member,Credit Card,39.24
2024-10-29,A,Member,Credit Card,24.88
2024-08-01,A,Member,Cash,156.34
2024-02-22,B,Member,Credit Card,469.77
2024-02-16,B,Normal,E-wallet,498.8
2024-06-21,B,Normal,Credit Card,10.95
2025-01-08,A,Member,Cash,290.78
2024-05-20,A,Member,Cash,86.28
2024-02-28,A,Normal,E-wallet,183.49
2024-09-04,B,Member,Cash,270.73
2024-07-14,B,Normal,Credit Card,127.18
2024-07-23,B,Normal,Cash,223.72
2024-05-10,A,Normal,Credit Card,360.28
2024-09-07,B,Member,Cash,406.52
2024-04-28,A,Normal,Cash,297.67
2024-05-02,B,Member,Cash,489.32
2024-03-25,B,Normal,E-wallet,281.34
2024-05-06,B,Member,E-wallet,50.24
2024-04-15,A,Normal,Credit Card,366.46
2024-08-05,B,Member,E-wallet,158.52
2024-04-05,A,Normal,Credit Card,16.37
2024-05-03,A,Member,E-wallet,349.75
2024-06-24,B,Normal,Cash,41.26
2025-02-02,B,Member,Cash,486.07
2024-09-06,A,Normal,Credit Card,230.83
2024-05-08,B,Normal,Cash,299.03
2024-07-28,B,Normal,E-wallet,493.44
2024-03-15,A,Member,Credit Card,105.32
2024-03-01,B,Normal,Credit Card,115.33
2024-03-24,A,Member,Credit Card,359.39
2024-04-13,A,Member,E-wallet,262.23
2024-11-04,A,Member,Cash,355.11
2024-06-21,A,Normal,E-wallet,462.97
2024-06-06,A,Member,Cash,400.1
2025-01-24,A,Member,Credit Card,63.72
2024-10-27,B,Normal,E-wallet,443.18
2024-12-26,A,Normal,Cash,346.88
2024-03-13,B,Normal,E-wallet,324.5
2025-01-24,A,Normal,Credit Card,283.8
2024-04-23,B,Normal,Cash,224.05
2024-03-09,B,Member,Credit Card,199.58
2024-09-10,A,Member,Cash,371.07
2024-08-06,B,Member,Credit Card,314.76
2024-06-24,A,Normal,Cash,387.94
2024-06-04,B,Normal,Cash,220.95
2024-10-06,B,Normal,Cash,394.88
2024-12-17,A,Member,Credit Card,286.33
2024-06-07,B,Normal,Credit Card,406.98
2024-08-06,B,Normal,E-wallet,324.81
2024-10-01,B,Member,Cash,468.23
2024-12-29,B,Member,E-wallet,375.08
2024-09-20,A,Normal,Credit Card,112.14
2024-11-07,B,Member,E-wallet,407.2
2024-05-17,B,Normal,E-wallet,497.68
2024-07-17,B,Normal,Credit Card,312.51
2024-07-20,A,Member,Credit Card,111.03
2024-03-19,B,Normal,Credit Card,162.59
2024-12-23,A,Member,Cash,497.86
2024-05-28,B,Normal,Credit Card,228.79
2024-02-25,A,Normal,Cash,22.34
2024-08-06,A,Member,Credit Card,16.01
2024-07-14,B,Member,Credit Card,111.37
2024-04-21,A,Normal,E-wallet,90.5
2024-08-22,A,Member,Credit Card,449.19
2024-11-19,B,Normal,E-wallet,200.41
2025-02-04,A,Member,Cash,492.96
2024-07-08,A,Member,Credit Card,26.07
2025-01-28,A,Normal,E-wallet,268.97
2024-09-28,B,Member,E-wallet,441.08
2024-07-31,B,Normal,Credit Card,164.48
2024-04-20,A,Member,Credit Card,471.37
2024-04-24,B,Member,E-wallet,248.04
2024-07-21,B,Member,E-wallet,396.11
2024-10-08,A,Normal,Credit Card,398.8
2024-08-25,A,Normal,Credit Card,262.03
2024-04-20,B,Member,Cash,399.97
2024-10-30,A,Member,Credit Card,98.9
2024-09-10,B,Normal,E-wallet,162.3
2024-04-25,B,Normal,E-wallet,311.41
2024-03-31,A,Member,Credit Card,171.95
2024-07-13,A,Normal,E-wallet,73.18
2024-08-09,A,Member,E-wallet,471.24
2024-03-04,A,Normal,Credit Card,150.66
2024-03-14,A,Member,Credit Card,147.83
2024-03-09,A,Normal,Cash,369.21
2024-10-06,A,Member,Cash,206.57
2024-10-08,A,Member,Credit Card,387.69
2024-03-13,A,Member,Cash,328.6
2024-06-04,B,Member,Cash,323.23
2024-04-04,B,Member,Cash,411.27
2024-10-12,B,Member,Cash,426.72
2025-01-24,A,Member,Credit Card,475.99
2024-11-04,A,Member,E-wallet,409.78
2024-03-03,A,Normal,Credit Card,182.79
2024-08-08,A,Normal,E-wallet,380.19
2024-07-28,B,Member,Cash,497.49
2024-06-04,A,Normal,Credit Card,328.15
2024-10-13,B,Member,Cash,481.33
2024-03-25,A,Member,Credit Card,356.92
2024-02-20,B,Member,Credit Card,17.9
2025-02-08,B,Normal,Credit Card,295.6
2024-02-23,A,Member,Credit Card,206.67
2024-10-08,B,Member,Credit Card,274.88
2024-08-08,A,Normal,Cash,471.09
2024-11-30,A,Normal,Credit Card,409.23
2024-04-18,B,Member,E-wallet,62.81
2024-06-11,B,Normal,Cash,482.5
2024-06-26,A,Normal,Cash,256.58
2024-05-30,A,Member,Cash,289.79
2024-05-23,B,Member,Cash,453.91
2024-07-11,A,Member,Credit Card,498.21
2024-04-22,B,Normal,Cash,381.06
2024-09-12,A,Normal,Cash,106.64
2024-04-23,A,Member,Cash,376.5
2024-11-02,B,Normal,Cash,274.38
2024-06-28,A,Normal,Credit Card,466.51
2024-03-22,B,Member,Credit Card,125.34
2024-03-21,B,Normal,Cash,333.23
2025-02-02,B,Normal,Credit Card,377.08
2024-06-18,A,Member,Cash,288.68
2024-12-17,A,Member,Cash,42.96
2024-07-28,B,Member,E-wallet,43.07
2024-03-25,B,Normal,E-wallet,373.46
2024-11-30,A,Normal,Cash,370.87
2024-10-06,A,Normal,Cash,104.22
2025-01-16,A,Normal,Credit Card,195.65
2024-03-28,A,Member,Cash,387.49
2025-01-22,A,Member,Credit Card,138.05
2024-12-18,A,Member,Cash,139.51
2024-03-01,B,Normal,Cash,168.97
2024-07-01,B,Normal,Cash,464.71
2024-08-29,B,Member,Cash,252.73
2024-03-03,B,Member,E-wallet,125.56
2024-10-17,A,Member,Credit Card,232.86
2024-06-08,A,Normal,E-wallet,68.1
2024-08-06,A,Member,Cash,305.51
2024-05-29,B,Member,Credit Card,418.33
2025-02-09,A,Member,E-wallet,182.22
2024-04-19,B,Member,Cash,242.55
2024-10-29,B,Member,E-wallet,309.7
2024-09-23,B,Normal,Cash,353.99
2024-08-17,B,Normal,E-wallet,97.41
2024-09-16,B,Member,Cash,360.31
2024-06-09,B,Normal,E-wallet,98.91
2024-06-28,B,Member,E-wallet,435.72
2024-04-10,B,Member,Cash,495.34
2024-05-31,B,Member,E-wallet,235.92
2024-10-16,A,Member,Credit Card,125.71
2024-05-22,B,Normal,Credit Card,252.38
2024-08-31,B,Member,E-wallet,487.09
2025-01-12,A,Normal,E-wallet,19.83
2024-05-10,B,Member,E-wallet,483.36
2025-01-16,B,Member,E-wallet,375.89
2024-03-12,A,Member,E-wallet,397.16
2024-04-24,A,Normal,E-wallet,268.64
2024-11-11,B,Normal,E-wallet,239.68
2024-04-07,A,Member,E-wallet,389.69
2024-03-09,A,Normal,Credit Card,328.92
2024-05-04,B,Member,Credit Card,265.16
2024-12-01,A,Normal,Credit Card,295.27
2024-08-18,A,Normal,Cash,395.54
2024-05-01,A,Normal,Cash,377.48
2025-01-30,B,Member,Credit Card,131.79
2024-06-21,A,Normal,Credit Card,435.18
2024-03-26,B,Member,Credit Card,496.1
2024-04-27,B,Normal,Credit Card,467.82
2024-04-17,A,Normal,E-wallet,440.45
2024-10-17,A,Member,E-wallet,131.6
2024-03-01,A,Member,Cash,371.1
2024-12-08,A,Member,Cash,107.94
2024-11-25,B,Normal,Cash,210.24
2024-09-15,B,Normal,Credit Card,154.01
2024-06-23,B,Normal,Cash,258.55
2024-12-30,A,Member,Credit Card,115.54
2024-06-28,A,Member,E-wallet,297.6
2024-03-02,A,Normal,Cash,444.48
2025-02-11,B,Normal,E-wallet,309.22
2024-12-16,A,Member,Cash,304.2
2025-02-01,A,Normal,Cash,347.17
2024-04-13,B,Normal,E-wallet,168.38
2024-03-26,B,Member,E-wallet,223.01
2024-10-01,A,Member,Cash,203.83
2024-08-12,A,Member,Cash,182.29
2024-11-24,B,Normal,Cash,221.21
2025-02-01,B,Member,Cash,272.49
2025-01-14,A,Member,E-wallet,63.4
2024-11-17,A,Member,Credit Card,316.1
2024-05-23,B,Member,Credit Card,316.08
2024-10-27,A,Member,Cash,215.97
2024-04-05,B,Member,Cash,237.51
2025-01-11,A,Member,Cash,489.67
2025-01-24,B,Member,Cash,85.97
2024-03-23,B,Member,Credit Card,260.32
2024-02-20,B,Member,Cash,38.79
2024-03-24,A,Normal,E-wallet,358.22
2024-07-01,A,Member,Credit Card,266.13
2024-07-11,A,Member,E-wallet,203.0
2024-10-23,A,Member,Cash,330.21
2024-02-29,A,Member,Cash,435.41
2025-01-14,A,Normal,Credit Card,189.42
2024-03-27,B,Normal,Cash,176.46
2024-07-06,A,Normal,Credit Card,336.88
2024-07-12,A,Normal,Cash,417.47
2024-12-07,A,Normal,E-wallet,480.54
2024-08-04,A,Member,Credit Card,233.55
2024-04-03,A,Normal,Cash,263.6
2024-05-18,A,Normal,E-wallet,246.05
2024-04-14,A,Normal,E-wallet,26.97
2024-09-04,A,Member,Credit Card,101.27
2024-08-21,B,Member,Cash,189.42
2024-12-08,B,Normal,Credit Card,145.59
2024-06-10,B,Member,E-wallet,193.49
2024-11-16,A,Member,Credit Card,139.33
2024-08-15,B,Normal,Cash,157.25
2024-03-03,A,Normal,E-wallet,305.65
2025-02-07,B,Member,Credit Card,363.94
2025-01-31,B,Member,Credit Card,206.32
2024-06-21,A,Normal,Cash,156.19
2024-12-15,A,Member,Cash,67.35
2024-08-14,A,Member,Credit Card,81.29
2024-05-07,B,Normal,Credit Card,201.26
2024-07-19,B,Member,Credit Card,386.49
2024-12-29,A,Normal,Cash,393.03
2024-07-15,B,Normal,E-wallet,62.16
2024-06-27,A,Normal,Cash,360.03
2024-09-15,B,Normal,Cash,498.71
2024-04-15,A,Member,Cash,386.19
2024-05-19,A,Normal,E-wallet,390.06
2024-06-19,A,Normal,Cash,430.53
2024-05-17,B,Member,Cash,72.81
2024-10-31,B,Member,E-wallet,447.37
2024-06-09,A,Normal,Credit Card,284.75
2024-04-11,A,Normal,Credit Card,251.85
2024-09-23,A,Normal,Credit Card,388.11
2024-06-06,A,Normal,Credit Card,26.34
2024-04-16,A,Normal,Cash,451.24
2024-05-11,A,Member,Credit Card,185.12
2024-09-16,B,Member,E-wallet,40.84
2024-11-17,A,Normal,Credit Card,277.37
2025-02-04,B,Normal,Credit Card,212.91
2024-03-25,B,Normal,Credit Card,163.02
2024-04-18,B,Normal,Credit Card,14.18
2024-05-15,B,Normal,Credit Card,303.25
2024-12-27,B,Member,Cash,390.98
2024-03-15,B,Normal,Cash,173.34
2024-09-13,B,Member,Cash,224.35
2024-11-17,A,Normal,E-wallet,127.78
2025-01-01,A,Normal,Credit Card,173.22
2024-03-01,A,Member,Credit Card,213.46
2024-12-31,B,Normal,Credit Card,494.04
2024-06-06,A,Normal,Cash,18.51
2024-11-03,A,Normal,Credit Card,75.69
2024-08-19,A,Normal,Credit Card,285.5
2024-03-14,B,Normal,Credit Card,487.62
2024-04-19,B,Member,Credit Card,456.8
2024-10-22,A,Member,Credit Card,498.32
2024-06-21,B,Member,Cash,227.44
2024-06-27,A,Member,E-wallet,100.6
2024-04-12,B,Normal,Credit Card,30.38
2024-09-20,B,Normal,Credit Card,213.92
2024-07-03,B,Normal,Credit Card,69.43
2024-03-21,B,Normal,E-wallet,220.09
2025-01-12,A,Normal,Credit Card,159.27
2024-05-20,A,Normal,Cash,128.84
2025-01-17,B,Member,E-wallet,245.78
2024-06-01,B,Member,Credit Card,364.12
2024-02-21,A,Normal,E-wallet,266.3
2025-01-19,B,Member,Cash,334.66
2024-09-29,A,Normal,E-wallet,484.17
2024-11-18,A,Member,Cash,175.64
2024-08-30,A,Normal,Cash,216.98
2024-10-14,B,Normal,E-wallet,148.46
2024-03-06,A,Normal,E-wallet,14.59
2024-05-01,A,Normal,E-wallet,200.44
2024-05-06,B,Member,Cash,312.03
2024-11-30,A,Member,E-wallet,454.99
2024-12-24,A,Member,Credit Card,308.47
2024-04-30,B,Member,E-wallet,213.87
2024-09-22,B,Normal,Credit Card,113.03
2024-07-11,A,Member,Credit Card,88.96
2025-01-22,A,Member,Cash,123.92
2024-07-29,A,Normal,Cash,382.66
2024-12-01,B,Member,Credit Card,235.54
2025-01-07,A,Member,E-wallet,185.59
2024-04-07,B,Member,Cash,175.94
2024-07-08,A,Normal,Credit Card,150.85
2024-12-19,A,Member,Cash,485.09
2024-07-28,A,Member,Cash,226.72
2024-04-19,A,Normal,Cash,43.32
2025-01-07,B,Member,Credit Card,40.74
2024-04-26,A,Normal,Credit Card,141.99
2024-12-11,A,Normal,Credit Card,380.13
2024-12-07,A,Member,E-wallet,257.69
2024-05-23,B,Normal,Cash,223.67
2024-02-16,A,Member,Credit Card,384.27
2024-11-13,B,Normal,Cash,290.41
2024-05-21,A,Member,Credit Card,488.03
2025-01-04,A,Normal,Cash,288.79
2024-05-01,A,Normal,E-wallet,331.2
2024-10-30,B,Normal,Cash,399.82
2024-09-27,A,Normal,Credit Card,193.38
2024-07-24,B,Member,Credit Card,489.34
2025-02-08,B,Normal,Credit Card,411.27
2025-02-01,A,Normal,E-wallet,463.66
2024-12-26,B,Member,E-wallet,471.66
2024-07-25,B,Normal,Cash,171.22
2024-06-14,B,Normal,Cash,401.24
2024-08-26,A,Normal,Credit Card,114.63
2024-06-19,B,Normal,E-wallet,224.3
2024-02-27,B,Normal,Credit Card,249.39
2024-12-10,B,Normal,Credit Card,297.1
2024-12-31,A,Normal,E-wallet,426.49
2024-08-04,A,Member,E-wallet,468.32
2024-09-13,A,Normal,Cash,202.05
2024-12-18,A,Member,Credit Card,58.11
2024-10-04,B,Member,Cash,276.27
2024-12-18,B,Normal,Credit Card,379.77
2024-04-14,A,Normal,Cash,42.14
2024-03-08,A,Member,Credit Card,227.77
2024-06-30,B,Member,Credit Card,324.81
2024-11-23,A,Normal,E-wallet,394.88
2024-11-18,A,Member,Credit Card,79.81
2024-10-04,B,Member,Credit Card,231.71
2024-09-05,A,Normal,Cash,289.99
2024-02-18,B,Member,E-wallet,191.19
2024-12-31,A,Member,Cash,313.02
2025-01-03,B,Normal,Cash,330.89
2024-07-06,B,Normal,Cash,251.67
2024-07-15,B,Member,Cash,355.66
2025-01-20,A,Member,Cash,104.48
2024-08-19,B,Normal,Credit Card,296.37
2024-11-20,B,Member,Cash,133.85
2024-07-05,B,Normal,Credit Card,310.55
2024-11-29,B,Normal,E-wallet,407.29
2024-05-30,B,Normal,Credit Card,50.08
2024-04-27,B,Normal,Cash,428.84
2025-01-16,B,Member,E-wallet,52.17
2024-07-15,B,Member,E-wallet,422.37
2024-10-10,B,Member,Credit Card,136.24
2024-09-13,A,Normal,E-wallet,135.1
2024-04-08,A,Member,Credit Card,244.77
2024-05-17,B,Member,Credit Card,487.84
2024-12-05,B,Normal,Credit Card,230.03
2024-08-31,A,Normal,Credit Card,467.67
2024-05-16,A,Member,E-wallet,90.44
2024-03-20,A,Member,Credit Card,214.38
2024-05-05,B,Member,E-wallet,242.94
2024-03-02,B,Normal,Cash,201.91
2025-02-03,A,Normal,Cash,491.62
2024-06-06,B,Member,Credit Card,119.7
2024-04-17,B,Normal,Cash,211.91
2024-12-14,B,Normal,Cash,442.67
2024-07-11,A,Member,Cash,351.08
2024-11-22,B,Normal,E-wallet,479.71
2024-12-21,A,Member,E-wallet,446.71
2024-04-08,A,Normal,Credit Card,234.63
2024-04-25,A,Member,Credit Card,92.0
2024-07-02,A,Normal,Cash,34.23
2024-09-08,B,Member,Credit Card,222.78
2024-04-24,A,Normal,Cash,120.47
2024-07-31,A,Normal,Credit Card,82.56
2024-05-07,A,Normal,Cash,447.65
2024-08-01,B,Normal,Credit Card,139.5
2024-04-20,B,Member,Cash,353.12
2024-04-01,B,Normal,Cash,351.78
2024-04-24,A,Normal,Cash,453.95
2024-07-22,B,Normal,Cash,372.92
2024-07-14,B,Member,E-wallet,330.72
2024-05-06,A,Member,Cash,128.01
2024-08-11,B,Normal,Cash,313.52
2024-07-03,B,Member,Cash,79.11
2024-07-04,A,Normal,Cash,112.63
2024-02-28,A,Member,E-wallet,152.03
2024-12-09,B,Normal,E-wallet,329.07
2024-03-28,A,Normal,Credit Card,20.15
2024-03-21,A,Normal,E-wallet,48.86
2024-12-07,A,Member,E-wallet,481.8
2024-04-18,A,Member,Credit Card,120.33
2024-04-05,A,Normal,Credit Card,184.83
2024-10-03,B,Member,Credit Card,283.22
2025-02-05,A,Normal,Cash,129.68
2024-07-27,A,Normal,Credit Card,477.57
2024-12-15,A,Member,E-wallet,450.95
2024-09-12,A,Member,Credit Card,447.81
2024-06-20,A,Normal,E-wallet,314.42
2024-12-04,A,Normal,E-wallet,44.21
2024-12-08,A,Normal,E-wallet,463.02
2024-09-11,A,Normal,E-wallet,377.46
2024-07-01,B,Member,Cash,20.34
2024-08-17,A,Member,E-wallet,414.93
2024-05-10,B,Normal,E-wallet,418.1
2024-10-02,A,Normal,Credit Card,50.07
2024-04-19,A,Normal,Cash,341.81
2024-07-25,A,Normal,E-wallet,318.99
2025-02-10,A,Member,Cash,216.65
2024-07-01,A,Member,Credit Card,420.18
2024-06-20,A,Normal,E-wallet,368.02
2025-01-19,B,Normal,Credit Card,89.51
2024-05-22,B,Member,Cash,461.19
2024-10-27,A,Member,Cash,113.32
2024-11-14,B,Normal,E-wallet,308.81
2024-06-30,B,Member,Cash,117.7
2024-05-06,A,Member,Credit Card,451.77
2024-05-01,B,Normal,Cash,384.09
2024-02-24,B,Normal,E-wallet,152.92
2024-11-27,A,Member,E-wallet,122.25
